Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.224 0.000606862 0.0879526 2.96e-07 0.957881 0.0426914 1.29e-07 1.3e-07 0.000695858
0.225 0.000606862 0.0879526 2.77e-07 0.960494 0.0403584 1.37e-07 1.25e-07 0.000695595
0.226 0.000606862 0.0879526 2.82e-07 0.960518 0.0409215 1.48e-07 1.79e-07 0.000695662
0.227 0.000606862 0.0879526 2.95e-07 0.970233 0.0427175 1.78e-07 1.29e-07 0.000693742
0.228 0.000606862 0.0879526 3.19e-07 0.963194 0.0453214 1.25e-07 1.82e-07 0.00069358
0.229 0.000606862 0.0879526 2.62e-07 0.964788 0.0405148 1.32e-07 1.54e-07 0.000695706
0.23 0.000606862 0.0879526 3.53e-07 0.980453 0.0438211 1.31e-07 1.28e-07 0.000693235
0.231 0.000606862 0.0879526 3.36e-07 1.04878 0.04326 1.33e-07 1.29e-07 0.000716841
0.232 0.000606862 0.0879526 5.11e-07 1.00396 0.0437651 1.43e-07 1.28e-07 0.000695167
0.233 0.000606862 0.0879526 2.72e-07 0.986001 0.0484188 1.36e-07 1.37e-07 0.000696558
0.234 0.000606862 0.0879526 4.32e-07 0.987466 0.0414037 1.4e-07 1.29e-07 0.000694129
0.235 0.000606862 0.0879526 2.91e-07 0.988569 0.041382 1.35e-07 1.42e-07 0.000697133
0.236 0.000606862 0.0879526 2.81e-07 1.00719 0.0471055 2.13e-07 1.41e-07 0.000716343
0.237 0.000606862 0.0879526 4.81e-07 1.03344 0.0441267 1.46e-07 1.27e-07 0.000692706
0.238 0.000606862 0.0879526 2.91e-07 0.996287 0.041561 1.34e-07 1.28e-07 0.000695559
0.239 0.000606862 0.0879526 2.54e-07 1.03455 0.0458043 2.23e-07 1.35e-07 0.000709721
0.24 0.000606862 0.0879526 4.23e-07 1.01503 0.0443131 1.41e-07 1.48e-07 0.00069318
0.241 0.000606862 0.0879526 2.73e-07 1.00161 0.041584 1.3e-07 1.38e-07 0.000694719
0.242 0.000606862 0.0879526 2.86e-07 1.00277 0.041792 1.35e-07 1.27e-07 0.000695576
0.243 0.000606862 0.0879526 2.9e-07 1.01115 0.0422013 1.32e-07 1.78e-07 0.000696321
0.244 0.000606862 0.0879526 2.71e-07 1.01332 0.0445997 1.34e-07 1.26e-07 0.000694412
0.245 0.000606862 0.0879526 3.72e-07 1.02176 0.047503 1.38e-07 1.47e-07 0.000693545
0.246 0.000606862 0.0879526 2.7e-07 1.0228 0.0474174 1.31e-07 1.46e-07 0.00069638
0.247 0.000606862 0.0879526 2.59e-07 1.02485 0.0485727 1.9e-07 1.24e-07 0.000696197
0.248 0.000606862 0.0879526 3.66e-07 1.02297 0.0428359 1.52e-07 1.28e-07 0.000694677
0.249 0.000606862 0.0879526 2.79e-07 1.02491 0.0427084 1.32e-07 1.24e-07 0.000695142
0.25 0.000606862 0.0879526 3.84e-07 1.02949 0.0429647 1.47e-07 1.28e-07 0.000694498
0.251 0.000606862 0.0879526 2.79e-07 1.03162 0.0503048 1.35e-07 1.27e-07 0.00069446
0.252 0.000606862 0.0879526 2.46e-07 1.03841 0.0431202 1.3e-07 1.23e-07 0.000695246
0.253 0.000606862 0.0879526 2.33e-07 1.04777 0.0435018 1.43e-07 1.28e-07 0.000694674
0.254 0.000606862 0.0879526 2.68e-07 1.04858 0.0449831 1.32e-07 1.26e-07 0.000711569
0.255 0.000606862 0.0879526 4.82e-07 1.05704 0.0633722 1.45e-07 1.31e-07 0.000717896
0.256 0.000606862 0.0879526 4.13e-07 1.06301 0.0472514 1.35e-07 1.46e-07 0.000696797
0.257 0.000606862 0.0879526 2.87e-07 1.05599 0.0434277 1.36e-07 1.22e-07 0.000695236
0.258 0.000606862 0.0879526 3.34e-07 1.05393 0.0483273 1.32e-07 1.23e-07 0.000696587
0.259 0.000606862 0.0879526 4.04e-07 1.0612 0.0437225 1.36e-07 1.27e-07 0.000698006
0.26 0.000606862 0.0879526 3.24e-07 1.06289 0.043871 1.38e-07 1.29e-07 0.000842128
0.261 0.000606862 0.0879526 3.27e-07 1.06404 0.0445167 1.3e-07 1.29e-07 0.000693778
0.262 0.000606862 0.0879526 3.09e-07 1.06433 0.0440881 1.29e-07 1.23e-07 0.000695817
0.263 0.000606862 0.0879526 2.94e-07 1.06969 0.0445804 1.35e-07 1.28e-07 0.000695818
0.264 0.000606862 0.0879526 2.41e-07 1.09082 0.0455431 1.38e-07 1.31e-07 0.000711831
0.265 0.000606862 0.0879526 4.09e-07 1.10596 0.044261 1.42e-07 1.3e-07 0.00074305
0.266 0.000606862 0.0879526 3.65e-07 1.0795 0.0439767 1.38e-07 1.35e-07 0.000692924
0.267 0.000606862 0.0879526 2.85e-07 1.07386 0.0440078 1.3e-07 1.35e-07 0.000692893
0.268 0.000606862 0.0879526 3.17e-07 1.0743 0.044058 1.37e-07 1.31e-07 0.000695454
0.269 0.000606862 0.0879526 3.01e-07 1.08683 0.044039 1.84e-07 1.47e-07 0.000695537
0.27 0.000606862 0.0879526 3.12e-07 1.08062 0.0449788 1.32e-07 1.37e-07 0.000730081
0.271 0.000606862 0.0879526 4.57e-07 1.08202 0.044399 1.37e-07 1.95e-07 0.000693859
0.272 0.000606862 0.0879526 2.78e-07 1.08588 0.0492871 1.33e-07 1.29e-07 0.000695151
0.273 0.000606862 0.0879526 4.46e-07 1.08788 0.0469847 1.4e-07 1.35e-07 0.000695613
0.274 0.000606862 0.0879526 2.63e-07 1.08665 0.0469211 1.36e-07 1.24e-07 0.000695442
0.275 0.000606862 0.0879526 2.75e-07 1.08699 0.0443148 1.93e-07 1.34e-07 0.000695573
0.276 0.000606862 0.0879526 3.05e-07 1.09175 0.0445229 1.32e-07 1.42e-07 0.000695349
0.277 0.000606862 0.0879526 2.87e-07 1.09361 0.0446436 1.94e-07 1.23e-07 0.000694986
0.278 0.000606862 0.0879526 3.28e-07 1.0923 0.0445996 1.35e-07 1.25e-07 0.000699094
0.279 0.000606862 0.0879526 3.13e-07 1.0933 0.0472219 1.31e-07 1.23e-07 0.000695121
0.28 0.000606862 0.0879526 3.66e-07 1.09292 0.047337 1.37e-07 1.27e-07 0.000695906
0.281 0.000606862 0.0879526 2.74e-07 1.09715 0.0447684 1.44e-07 1.28e-07 0.000695811
0.282 0.000606862 0.0879526 2.49e-07 1.09819 0.0472823 1.28e-07 1.24e-07 0.000699423
0.283 0.000606862 0.0879526 4.52e-07 1.10535 0.0475713 1.79e-07 1.23e-07 0.000698061
0.284 0.000606862 0.0879526 3.05e-07 1.10913 0.0477092 1.29e-07 1.26e-07 0.000697163
0.285 0.000606862 0.0879526 2.43e-07 1.10964 0.0454807 1.88e-07 1.34e-07 0.000694878
0.286 0.000606862 0.0879526 4.04e-07 1.10794 0.0488178 1.41e-07 1.24e-07 0.000697992
0.287 0.000606862 0.0879526 6.6e-07 1.10962 0.0454019 1.28e-07 1.45e-07 0.000695302
0.288 0.000606862 0.0879526 2.77e-07 1.11054 0.0502791 1.36e-07 1.84e-07 0.000695506
0.289 0.000606862 0.0879526 2.67e-07 1.10915 0.0453631 1.29e-07 1.26e-07 0.000695317
0.29 0.000606862 0.0879526 3.37e-07 1.12161 0.0481552 1.31e-07 1.25e-07 0.000694178
0.291 0.000606862 0.0879526 2.38e-07 1.12182 0.0456061 1.27e-07 1.19e-07 0.000693352
0.292 0.000606862 0.0879526 2.92e-07 1.11876 0.0454947 1.3e-07 1.79e-07 0.000696782
0.293 0.000606862 0.0879526 2.85e-07 1.11682 0.046425 1.23e-07 1.25e-07 0.000697029
0.294 0.000606862 0.0879526 4.62e-07 1.11932 0.045867 1.26e-07 1.3e-07 0.00069487
0.295 0.000606862 0.0879526 2.64e-07 1.12005 0.0456905 1.46e-07 1.19e-07 0.000694593
0.296 0.000606862 0.0879526 2.75e-07 1.12534 0.0457749 1.36e-07 1.4e-07 0.00069618
0.297 0.000606862 0.0879526 2.9e-07 1.12321 0.0457417 1.76e-07 1.25e-07 0.000694991
0.298 0.000606862 0.0879526 3.11e-07 1.12368 0.0506187 1.32e-07 1.24e-07 0.000695297
0.299 0.000606862 0.0879526 3.66e-07 1.1282 0.0456595 1.28e-07 1.84e-07 0.000693924
0.3 0.000606862 0.0879526 2.59e-07 1.13097 0.0466859 1.24e-07 1.34e-07 0.000695469
0.301 0.000606862 0.0879526 3.74e-07 1.12983 0.045859 1.28e-07 1.37e-07 0.000693735
0.302 0.000606862 0.0879526 2.41e-07 1.13439 0.0459405 1.42e-07 1.25e-07 0.000694751
0.303 0.000606862 0.0879526 2.93e-07 1.13474 0.0458941 1.32e-07 1.78e-07 0.000699311
0.304 0.000606862 0.0879526 3.26e-07 1.13779 0.0460549 1.42e-07 1.23e-07 0.000695264
0.305 0.000606862 0.0879526 3.1e-07 1.13836 0.045972 1.42e-07 1.25e-07 0.000695678
0.306 0.000606862 0.0879526 2.71e-07 1.15028 0.0470811 1.25e-07 1.31e-07 0.000696651
0.307 0.000606862 0.0879526 3.02e-07 1.15369 0.0469849 1.34e-07 1.41e-07 0.000697371
0.308 0.000606862 0.0879526 2.98e-07 1.15462 0.0467239 1.88e-07 1.37e-07 0.000695767
0.309 0.000606862 0.0879526 3.5e-07 1.15974 0.0469305 1.31e-07 1.4e-07 0.000694715
0.31 0.000606862 0.0879526 3.42e-07 1.16159 0.0469902 1.23e-07 1.35e-07 0.000695681
0.311 0.000606862 0.0879526 3.06e-07 1.16355 0.0470745 1.25e-07 1.77e-07 0.000694143
0.312 0.000606862 0.0879526 3.45e-07 1.1658 0.0477382 1.35e-07 1.28e-07 0.000695193
0.313 0.000606862 0.0879526 3.42e-07 1.17881 0.0477712 1.28e-07 1.8e-07 0.000696303
0.314 0.000606862 0.0879526 2.5e-07 1.17836 0.0475637 1.51e-07 1.47e-07 0.000695524
0.315 0.000606862 0.0879526 3.96e-07 1.17286 0.0476566 1.39e-07 1.47e-07 0.000694019
0.316 0.000606862 0.0879526 2.6e-07 1.19129 0.0483819 1.42e-07 1.3e-07 0.000694749
0.317 0.000606862 0.0879526 3.36e-07 1.18609 0.04802 1.29e-07 1.3e-07 0.000693407
0.318 0.000606862 0.0879526 3.34e-07 1.1902 0.0481476 1.25e-07 1.28e-07 0.000696358
0.319 0.000606862 0.0879526 3.49e-07 1.19989 0.0485506 1.37e-07 1.27e-07 0.000693305
0.32 0.000606862 0.0879526 2.19e-07 1.23285 0.0488803 1.29e-07 1.31e-07 0.000692572
0.321 0.000606862 0.0879526 2.76e-07 1.23286 0.048254 1.36e-07 1.35e-07 0.000693716
0.322 0.000606862 0.0879526 2.56e-07 1.19198 0.0482768 1.98e-07 1.46e-07 0.000694587
0.323 0.000606862 0.0879526 3.09e-07 1.19945 0.0509537 1.3e-07 1.31e-07 0.000696647
0.324 0.000606862 0.0879526 3.15e-07 1.19965 0.048289 1.37e-07 1.23e-07 0.00069578
0.325 0.000606862 0.0879526 3.62e-07 1.20009 0.0483359 1.35e-07 1.78e-07 0.000694634
0.326 0.000606862 0.0879526 2.43e-07 1.20189 0.048507 1.31e-07 1.23e-07 0.000696023
0.327 0.000606862 0.0879526 3.04e-07 1.20761 0.0514299 1.4e-07 1.77e-07 0.000695488
0.328 0.000606862 0.0879526 3.48e-07 1.20929 0.04876 1.93e-07 1.26e-07 0.000694253
