Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.305 0.00214238 0.0740391 3.78e-07 0.916313 0.0453102 1.51e-07 1.47e-07 0.000562294
0.306 0.00214238 0.0740391 3.35e-07 0.922551 0.0500209 1.53e-07 1.29e-07 0.000558476
0.307 0.00214238 0.0740391 3.64e-07 0.925273 0.0524652 2.26e-07 1.28e-07 0.000558879
0.308 0.00214238 0.0740391 3.59e-07 0.919108 0.0559758 1.48e-07 1.41e-07 0.000560686
0.309 0.00214238 0.0740391 4.16e-07 0.923545 0.0560377 1.3e-07 1.83e-07 0.000558905
0.31 0.00214238 0.0740391 3.86e-07 0.922878 0.0587276 1.46e-07 1.29e-07 0.000559759
0.311 0.00214238 0.0740391 3.16e-07 0.923274 0.0588048 1.44e-07 1.27e-07 0.000569863
0.312 0.00214238 0.0740391 3.42e-07 0.92672 0.0630398 1.32e-07 1.22e-07 0.000571248
0.313 0.00214238 0.0740391 3.94e-07 0.925989 0.0628518 1.27e-07 1.27e-07 0.000570023
0.314 0.00214238 0.0740391 4.19e-07 0.928477 0.0635255 1.84e-07 1.39e-07 0.00057041
0.315 0.00214238 0.0740391 2.81e-07 0.929403 0.0674527 1.8e-07 1.31e-07 0.000570778
0.316 0.00214238 0.0740391 2.64e-07 0.929418 0.0780579 1.24e-07 1.26e-07 0.000561581
0.317 0.00214238 0.0740391 3.26e-07 0.926819 0.0865027 1.38e-07 1.19e-07 0.000572051
0.318 0.00214238 0.0740391 4.05e-07 0.929505 0.0882965 1.78e-07 1.34e-07 0.00059776
0.319 0.00214238 0.0740391 4.61e-07 0.959112 0.0995971 1.26e-07 1.27e-07 0.000572195
0.32 0.00214238 0.0740391 3.76e-07 0.932695 0.0804892 1.35e-07 1.27e-07 0.000557527
0.321 0.00214238 0.0740391 3.44e-07 0.935752 0.0826867 1.37e-07 1.47e-07 0.000557251
0.322 0.00214238 0.0740391 2.53e-07 0.9352 0.0372649 1.97e-07 1.37e-07 0.000636116
0.323 0.00214238 0.0740391 3.04e-07 0.940617 0.0376834 1.42e-07 1.29e-07 0.000566419
0.324 0.00214238 0.0740391 4.03e-07 0.941108 0.0376494 1.47e-07 1.32e-07 0.000566233
0.325 0.00214238 0.0740391 2.84e-07 0.941939 0.0377257 1.44e-07 1.31e-07 0.000566325
0.326 0.00214238 0.0740391 3.88e-07 0.941328 0.037853 1.38e-07 1.32e-07 0.000567092
0.327 0.00214238 0.0740391 3.01e-07 0.949331 0.038164 1.37e-07 1.32e-07 0.000569149
0.328 0.00214238 0.0740391 3.42e-07 0.974721 0.0381339 1.39e-07 1.87e-07 0.00056645
0.329 0.00214238 0.0740391 4.44e-07 0.952723 0.0381324 1.52e-07 1.31e-07 0.000567761
0.33 0.00214238 0.0740391 2.99e-07 0.953354 0.0378799 1.34e-07 1.81e-07 0.000555155
0.331 0.00214238 0.0740391 2.88e-07 0.951994 0.0380812 1.39e-07 1.3e-07 0.000567665
0.332 0.00214238 0.0740391 3.15e-07 0.952059 0.0381997 1.37e-07 1.48e-07 0.000566478
0.333 0.00214238 0.0740391 2.74e-07 0.951885 0.0380246 1.33e-07 1.35e-07 0.000556418
0.334 0.00214238 0.0740391 1.425e-06 1.00155 0.0383481 1.38e-07 1.32e-07 0.000567698
0.335 0.00214238 0.0740391 3e-07 0.954151 0.0449282 1.34e-07 1.33e-07 0.000567832
0.336 0.00214238 0.0740391 2.7e-07 0.960839 0.0384822 1.45e-07 1.29e-07 0.000565931
0.337 0.00214238 0.0740391 3.89e-07 0.960076 0.0384657 1.38e-07 1.29e-07 0.000567139
0.338 0.00214238 0.0740391 2.65e-07 0.961652 0.0385482 1.56e-07 1.31e-07 0.000568387
0.339 0.00214238 0.0740391 3.6e-07 0.962061 0.0385667 1.47e-07 1.3e-07 0.000568406
0.34 0.00214238 0.0740391 3.16e-07 0.964099 0.0387085 1.5e-07 1.31e-07 0.000567154
0.341 0.00214238 0.0740391 4.71e-07 0.964892 0.0385888 1.34e-07 1.31e-07 0.000568771
0.342 0.00214238 0.0740391 2.54e-07 0.965219 0.0428651 1.51e-07 1.26e-07 0.000569072
0.343 0.00214238 0.0740391 3.01e-07 0.975587 0.0408988 1.48e-07 1.31e-07 0.00057009
0.344 0.00214238 0.0740391 3.53e-07 0.965192 0.0387027 1.34e-07 1.33e-07 0.000569313
0.345 0.00214238 0.0740391 2.86e-07 0.97468 0.0390028 1.3e-07 1.49e-07 0.00056967
0.346 0.00214238 0.0740391 2.48e-07 0.974026 0.0412156 1.34e-07 1.32e-07 0.000568768
0.347 0.00214238 0.0740391 2.98e-07 0.979562 0.0412317 1.33e-07 1.88e-07 0.000568461
0.348 0.00214238 0.0740391 2.51e-07 0.976901 0.0393063 1.39e-07 1.35e-07 0.000568141
0.349 0.00214238 0.0740391 4.37e-07 0.983983 0.0393832 1.96e-07 1.37e-07 0.000566496
0.35 0.00214238 0.0740391 2.87e-07 0.983216 0.0412646 1.29e-07 1.28e-07 0.000557818
0.351 0.00214238 0.0740391 2.63e-07 0.984713 0.0393092 1.36e-07 1.33e-07 0.000566869
0.352 0.00214238 0.0740391 4.3e-07 0.986543 0.0392908 1.95e-07 1.45e-07 0.000569466
