Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.283 0.000796496 0.0952426 2.82e-07 2.66566 0.111423 1.39e-07 1.3e-07 0.000980014
0.284 0.000796496 0.0952426 2.68e-07 2.66934 0.115017 1.29e-07 1.38e-07 0.000980822
0.285 0.000796496 0.0952426 3.56e-07 2.66891 0.111479 1.34e-07 1.31e-07 0.000981945
0.286 0.000796496 0.0952426 2.56e-07 2.67336 0.104669 1.35e-07 1.79e-07 0.00097776
0.287 0.000796496 0.0952426 2.8e-07 2.67586 0.111887 1.37e-07 1.29e-07 0.000978281
0.288 0.000796496 0.0952426 3.48e-07 2.68103 0.104804 1.29e-07 1.48e-07 0.000978171
0.289 0.000796496 0.0952426 3.54e-07 2.68458 0.112012 1.37e-07 1.82e-07 0.000977185
0.29 0.000796496 0.0952426 2.81e-07 2.68617 0.108563 1.86e-07 1.36e-07 0.000976774
0.291 0.000796496 0.0952426 2.79e-07 2.6889 0.11205 1.36e-07 1.28e-07 0.000980395
0.292 0.000796496 0.0952426 2.54e-07 2.69703 0.105456 1.32e-07 1.3e-07 0.000979755
0.293 0.000796496 0.0952426 3.33e-07 2.71838 0.11673 1.3e-07 1.28e-07 0.000981754
0.294 0.000796496 0.0952426 3.15e-07 2.72556 0.106204 1.87e-07 1.4e-07 0.000978129
0.295 0.000796496 0.0952426 3.11e-07 2.72555 0.11014 1.3e-07 1.28e-07 0.000978977
0.296 0.000796496 0.0952426 3.87e-07 2.74689 0.11757 1.46e-07 1.89e-07 0.000976729
0.297 0.000796496 0.0952426 6.2e-07 2.74888 0.107233 1.44e-07 1.48e-07 0.000977735
0.298 0.000796496 0.0952426 3.43e-07 2.75378 0.114456 1.37e-07 1.28e-07 0.000978375
0.299 0.000796496 0.0952426 2.59e-07 2.7623 0.114686 1.49e-07 1.28e-07 0.000981266
0.3 0.000796496 0.0952426 3.21e-07 2.77077 0.111429 1.3e-07 1.84e-07 0.00097638
0.301 0.000796496 0.0952426 2.83e-07 2.77124 0.111613 1.37e-07 1.83e-07 0.000986903
0.302 0.000796496 0.0952426 2.57e-07 2.79138 0.11237 1.42e-07 1.3e-07 0.000979441
0.303 0.000796496 0.0952426 2.68e-07 2.79289 0.119397 1.36e-07 1.29e-07 0.000980483
0.304 0.000796496 0.0952426 2.8e-07 2.80211 0.116025 1.51e-07 1.45e-07 0.000978985
0.305 0.000796496 0.0952426 4.09e-07 2.80018 0.109032 1.3e-07 1.3e-07 0.000980317
0.306 0.000796496 0.0952426 3.38e-07 2.79862 0.109137 1.49e-07 1.29e-07 0.000977499
0.307 0.000796496 0.0952426 2.67e-07 2.80405 0.109119 1.61e-07 1.37e-07 0.000980931
0.308 0.000796496 0.0952426 2.82e-07 2.80254 0.116358 1.35e-07 1.29e-07 0.000980043
0.309 0.000796496 0.0952426 2.4e-07 2.80332 0.109375 1.39e-07 1.48e-07 0.000981724
0.31 0.000796496 0.0952426 3.44e-07 2.8064 0.109554 1.28e-07 1.85e-07 0.00098133
0.311 0.000796496 0.0952426 3.55e-07 2.81186 0.116471 1.5e-07 1.27e-07 0.000982688
0.312 0.000796496 0.0952426 3.56e-07 2.81141 0.1094 1.37e-07 1.85e-07 0.000977087
0.313 0.000796496 0.0952426 3.71e-07 2.81892 0.109584 1.99e-07 1.28e-07 0.000979617
0.314 0.000796496 0.0952426 3.25e-07 2.82301 0.113235 1.84e-07 1.27e-07 0.00097715
0.315 0.000796496 0.0952426 2.91e-07 2.82726 0.11703 1.42e-07 1.8e-07 0.000977893
0.316 0.000796496 0.0952426 3.81e-07 2.83485 0.113416 1.29e-07 1.29e-07 0.000976734
0.317 0.000796496 0.0952426 3.2e-07 2.83564 0.113329 1.37e-07 1.29e-07 0.00098149
0.318 0.000796496 0.0952426 2.88e-07 2.83884 0.113622 1.44e-07 1.33e-07 0.00097966
0.319 0.000796496 0.0952426 2.94e-07 2.8434 0.113786 1.36e-07 1.26e-07 0.000978878
0.32 0.000796496 0.0952426 3.85e-07 2.8452 0.11024 1.34e-07 1.28e-07 0.000976007
0.321 0.000796496 0.0952426 3.7e-07 2.85592 0.110563 1.41e-07 1.28e-07 0.000976186
0.322 0.000796496 0.0952426 3.66e-07 2.84796 0.110433 1.34e-07 1.32e-07 0.000978106
0.323 0.000796496 0.0952426 3.5e-07 2.85601 0.110472 1.79e-07 1.34e-07 0.000978734
0.324 0.000796496 0.0952426 3.21e-07 2.87247 0.111785 1.43e-07 1.37e-07 0.000978336
0.325 0.000796496 0.0952426 3.77e-07 2.90053 0.111162 1.28e-07 1.29e-07 0.000981561
0.326 0.000796496 0.0952426 4.44e-07 2.88761 0.111396 1.44e-07 1.39e-07 0.000978402
0.327 0.000796496 0.0952426 3.81e-07 2.88457 0.111512 1.33e-07 1.82e-07 0.000978173
0.328 0.000796496 0.0952426 3.6e-07 2.89676 0.112012 1.36e-07 1.45e-07 0.000979728
0.329 0.000796496 0.0952426 3.17e-07 2.89985 0.115378 1.91e-07 1.29e-07 0.000978887
0.33 0.000796496 0.0952426 3.96e-07 2.89974 0.122726 1.37e-07 1.27e-07 0.000978639
0.331 0.000796496 0.0952426 4.89e-07 2.90571 0.112075 1.39e-07 1.28e-07 0.000978961
0.332 0.000796496 0.0952426 3.16e-07 2.91886 0.112728 1.35e-07 1.29e-07 0.0009755
0.333 0.000796496 0.0952426 3.24e-07 2.92409 0.11255 1.34e-07 1.3e-07 0.000986701
0.334 0.000796496 0.0952426 2.72e-07 2.91889 0.112642 1.39e-07 1.84e-07 0.000980089
0.335 0.000796496 0.0952426 2.79e-07 2.92856 0.113054 1.3e-07 1.82e-07 0.000978167
0.336 0.000796496 0.0952426 3.64e-07 2.94076 0.112965 1.93e-07 1.31e-07 0.000976295
0.337 0.000796496 0.0952426 3.22e-07 2.93785 0.113121 1.41e-07 1.29e-07 0.000979762
0.338 0.000796496 0.0952426 4.91e-07 2.94058 0.113583 1.42e-07 1.29e-07 0.00102102
0.339 0.000796496 0.0952426 2.62e-07 2.94284 0.113649 1.47e-07 1.27e-07 0.000979186
0.34 0.000796496 0.0952426 3.69e-07 2.95056 0.11372 1.28e-07 1.48e-07 0.000978959
